name,val,sci,common,kingdom,phylum,class,order,family,genus
Western Lowland Gorilla,0,Gorilla gorilla gorilla,Western Lowland Gorilla,Metazoa,Chordata,Mammalia,Primates,Hominidae,Gorilla
man,0,Homo sapiens,man,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
Chimpanzee,0,Pan troglodytes,Chimpanzee,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
pygmy chimpanzee,0,Pan paniscus,pygmy chimpanzee,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
pygmy chimpanzee,0,Pan paniscus,pygmy chimpanzee,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
Patas monkey,0.0263344262877836,Erythrocebus patas,Patas monkey,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Erythrocebus
Red-shanked douc,0.0263344262877836,Pygathrix nemaeus,Red-shanked douc,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Pygathrix
Sooty Mangabey,0.0263344262877836,Cercocebus atys,Sooty Mangabey,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Cercocebus
Green Monkey,0.0263344262877836,Chlorocebus sabaeus,Green Monkey,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus
Long-tailed Macaque,0.0263344262877836,Macaca fascicularis,Long-tailed Macaque,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca
pigtail macaque,0.0263344262877836,Macaca nemestrina,pigtail macaque,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca
Rhesus Monkey,0.0263344262877836,Macaca mulatta,Rhesus Monkey,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca
Drill,0.0263344262877836,Mandrillus leucophaeus,Drill,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus
Olive Baboon,0.0263344262877836,Papio anubis,Olive Baboon,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Papio
Ashy Red Colobus,0.0263344262877836,Piliocolobus tephrosceles,Ashy Red Colobus,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Piliocolobus
gelada baboon,0.0263344262877836,Theropithecus gelada,gelada baboon,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Theropithecus
silvery gibbon,0.0263344262877836,Hylobates moloch,silvery gibbon,Metazoa,Chordata,Mammalia,Primates,Hylobatidae,Hylobates
Northern White-cheeked Crested Gibbon,0.0263344262877836,Nomascus leucogenys,Northern White-cheeked Crested Gibbon,Metazoa,Chordata,Mammalia,Primates,Hylobatidae,Nomascus
Northern White-cheeked Crested Gibbon,0.0263344262877836,Nomascus leucogenys,Northern White-cheeked Crested Gibbon,Metazoa,Chordata,Mammalia,Primates,Hylobatidae,Nomascus
Sumatran Orangutan,0.0530945259278035,Pongo abelii,Sumatran Orangutan,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo
Sumatran Orangutan,0.0530945259278035,Pongo abelii,Sumatran Orangutan,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo
Angola colobus,0.0533590078853648,Colobus angolensis,Angola colobus,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Colobus
Proboscis monkey,0.0536449526519117,Nasalis larvatus,Proboscis monkey,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Nasalis
Golden Snub-nosed Monkey,0.0536449526519117,Rhinopithecus roxellana,Golden Snub-nosed Monkey,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Rhinopithecus
Golden Snub-nosed Monkey,0.0536449526519117,Rhinopithecus roxellana,Golden Snub-nosed Monkey,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Rhinopithecus
Coquerel's Sifaka,0.0884729998596078,Propithecus coquereli,Coquerel's Sifaka,Metazoa,Chordata,Mammalia,Primates,Indriidae,Propithecus
François' leaf monkey,0.114432325606213,Trachypithecus francoisi,François' leaf monkey,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Trachypithecus
Greater bamboo lemur,0.118357895101827,Prolemur simus,Greater Bamboo Lemur,Metazoa,Chordata,Mammalia,Primates,Lemuridae,Prolemur
Aye-aye,0.120473404209117,Daubentonia madagascariensis,Aye-aye,Animalia,Chordata,Mammalia,Primates,Daubentoniidae,Daubentonia
White-faced saki,0.138607169426947,Pithecia pithecia,White-faced saki,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Pithecia
Ma's Night Monkey,0.138607169426947,Aotus nancymaae,Ma's Night Monkey,Metazoa,Chordata,Mammalia,Primates,Aotidae,Aotus
Common marmoset,0.138607169426947,Callithrix jacchus,white-tufted-ear marmoset,Metazoa,Chordata,Mammalia,Primates,Cebidae,Callithrix
Common marmoset,0.138607169426947,Callithrix jacchus,white-tufted-ear marmoset,Metazoa,Chordata,Mammalia,Primates,Cebidae,Callithrix
Cebus capucinus imitator,0.138607169426947,Cebus capucinus imitator,Panamanian white-faced capuchin,Metazoa,Chordata,Mammalia,Primates,Cebidae,Cebus
Cebus capucinus imitator,0.138607169426947,Cebus capucinus imitator,Panamanian white-faced capuchin,Metazoa,Chordata,Mammalia,Primates,Cebidae,Cebus
Bolivian Squirrel Monkey,0.138607169426947,Saimiri boliviensis boliviensis,Bolivian Squirrel Monkey,Metazoa,Chordata,Mammalia,Primates,Cebidae,Saimiri
Guianan Brown Capuchin,0.138607169426947,Sapajus apella,Guianan Brown Capuchin,Metazoa,Chordata,Mammalia,Primates,Cebidae,Sapajus
White-eared titi,0.138607169426947,Callicebus donacophilus,White-eared titi,Metazoa,Chordata,Mammalia,Primates,Pitheciidae,Callicebus
