V1,V2,V3,sci,common,kingdom,phylum,class,family,genus,header,order
Cluster 0,XP_009055043,1247,Lottia gigantea,owl limpet,Metazoa,Mollusca,Gastropoda,Lottiidae,Lottia,owl limpet,NA
Cluster 1,TRZ26454,1176,Zosterops borbonicus,Reunion Grey White-eye,Metazoa,Chordata,Aves,Zosteropidae,Zosterops,Reunion Grey White-eye,Passeriformes
Cluster 2,OWK55002,936,Lonchura striata domestica,NA,Metazoa,Chordata,Aves,Estrildidae,Lonchura,Lonchura striata domestica,Passeriformes
Cluster 3,ENSLSDP00000001157_L,935,Lonchura striata domestica,NA,Metazoa,Chordata,Aves,Estrildidae,Lonchura,Lonchura striata domestica,Passeriformes
Cluster 4,C42D8,906,NA,NA,NA,NA,NA,NA,NA,C42D8,NA
Cluster 5,XP_018100934,876,Xenopus laevis,African Clawed Frog,Metazoa,Chordata,Amphibia,Pipidae,Xenopus,African Clawed Frog,Anura
Cluster 6,XP_032907631,872,Catharus ustulatus,Zorzal de Swainson,Metazoa,Chordata,Aves,Turdidae,Catharus,Zorzal de Swainson,Passeriformes
Cluster 6,XP_032907631,872,Catharus ustulatus,Zorzal de Swainson,Metazoa,Chordata,Aves,Turdidae,Catharus,Zorzal de Swainson,Passeriformes
Cluster 7,XP_026077260,862,Carassius auratus,goldfish,Metazoa,Chordata,Actinopteri,Cyprinidae,Carassius,goldfish,Cypriniformes
Cluster 8,XP_002938293,862,Xenopus tropicalis,NA,Metazoa,Chordata,Amphibia,Pipidae,Xenopus,Xenopus tropicalis,Anura
Cluster 8,XP_002938293,862,Xenopus tropicalis,NA,Metazoa,Chordata,Amphibia,Pipidae,Xenopus,Xenopus tropicalis,Anura
Cluster 8,XP_002938293,862,Xenopus tropicalis,NA,Metazoa,Chordata,Amphibia,Pipidae,Xenopus,Xenopus tropicalis,Anura
Cluster 9,ENSXETP00000034203_X,862,Xenopus tropicalis,NA,Metazoa,Chordata,Amphibia,Pipidae,Xenopus,Xenopus tropicalis,Anura
Cluster 10,XP_029140508,861,Protobothrops mucrosquamatus,Brown Spotted Pitviper,Metazoa,Chordata,Lepidosauria,Viperidae,Protobothrops,Brown Spotted Pitviper,Squamata
Cluster 10,XP_029140508,861,Protobothrops mucrosquamatus,Brown Spotted Pitviper,Metazoa,Chordata,Lepidosauria,Viperidae,Protobothrops,Brown Spotted Pitviper,Squamata
Cluster 10,XP_029140508,861,Protobothrops mucrosquamatus,Brown Spotted Pitviper,Metazoa,Chordata,Lepidosauria,Viperidae,Protobothrops,Brown Spotted Pitviper,Squamata
Cluster 11,XP_019467554,861,Meleagris gallopavo,Guajolote norteño,Metazoa,Chordata,Aves,Phasianidae,Meleagris,Guajolote norteño,Galliformes
Cluster 11,XP_019467554,861,Meleagris gallopavo,Guajolote norteño,Metazoa,Chordata,Aves,Phasianidae,Meleagris,Guajolote norteño,Galliformes
Cluster 11,XP_019467554,861,Meleagris gallopavo,Guajolote norteño,Metazoa,Chordata,Aves,Phasianidae,Meleagris,Guajolote norteño,Galliformes
Cluster 12,XP_005997915,859,Latimeria chalumnae,West Indian Ocean coelacanth,Metazoa,Chordata,Coelacanthimorpha,Coelacanthidae,Latimeria,West Indian Ocean coelacanth,Coelacanthiformes
Cluster 12,XP_005997915,859,Latimeria chalumnae,West Indian Ocean coelacanth,Metazoa,Chordata,Coelacanthimorpha,Coelacanthidae,Latimeria,West Indian Ocean coelacanth,Coelacanthiformes
Cluster 12,XP_005997915,859,Latimeria chalumnae,West Indian Ocean coelacanth,Metazoa,Chordata,Coelacanthimorpha,Coelacanthidae,Latimeria,West Indian Ocean coelacanth,Coelacanthiformes
